model_name,max_iter,training_score,testing_score
best_kmeans_model,2,50933.3359375,0.013630102
best_kmeans_model,4,50774.8046875,0.01517129
best_kmeans_model,6,50745.421875,0.015204021
best_kmeans_model,8,50740.515625,0.015063632
best_kmeans_model,10,50728.99609375,0.015062757
best_kmeans_model,12,50728.859375,0.015054654
best_kmeans_model,14,50728.8359375,0.015052674
best_kmeans_model,16,50728.8203125,0.015052674
best_kmeans_model,18,50728.828125,0.015052674
best_kmeans_model,20,50728.828125,0.015052674
best_kmeans_model,22,50728.828125,0.015052674
best_kmeans_model,24,50728.828125,0.015052674
best_kmeans_model,26,50728.828125,0.015052674
best_kmeans_model,28,50728.828125,0.015052674
best_bisecting_kmeans_model,2,51998.6484375,0.0074552004
best_bisecting_kmeans_model,4,51699.890625,0.008737281
best_bisecting_kmeans_model,6,51686.640625,0.010837264
best_bisecting_kmeans_model,8,51589.92578125,0.0111402655
best_bisecting_kmeans_model,10,51664.8046875,0.010433134
best_bisecting_kmeans_model,12,51566.7265625,0.011700698
best_bisecting_kmeans_model,14,51470.36328125,0.011724089
best_bisecting_kmeans_model,16,51378.9140625,0.012588178
best_bisecting_kmeans_model,18,51422.57421875,0.012854719
best_bisecting_kmeans_model,20,51456.7734375,0.01111343
best_bisecting_kmeans_model,22,51456.765625,0.01111343
best_bisecting_kmeans_model,24,51456.765625,0.01111343
best_bisecting_kmeans_model,26,51456.7734375,0.01111343
best_bisecting_kmeans_model,28,51456.7734375,0.01111343
best_minibatch_kmeans_model,2,50938.109375,0.014933277
best_minibatch_kmeans_model,4,50928.03125,0.01498319
best_minibatch_kmeans_model,6,50928.03125,0.01498319
best_minibatch_kmeans_model,8,50928.03125,0.01498319
best_minibatch_kmeans_model,10,50928.03125,0.01498319
best_minibatch_kmeans_model,12,50928.03125,0.01498319
best_minibatch_kmeans_model,14,50928.03125,0.01498319
best_minibatch_kmeans_model,16,50928.03125,0.01498319
best_minibatch_kmeans_model,18,50928.03125,0.01498319
best_minibatch_kmeans_model,20,50928.03125,0.01498319
best_minibatch_kmeans_model,22,50928.03125,0.01498319
best_minibatch_kmeans_model,24,50928.03125,0.01498319
best_minibatch_kmeans_model,26,50928.03125,0.01498319
best_minibatch_kmeans_model,28,50928.03125,0.01498319
